time,position
0,0
1,11033.54395
2,20923.8418
3,29531.77148
4,37116.35938
5,43834.17188
6,49872.82813
7,55310.68359
8,60239.64063
9,64741.98047
10,68872.59375
11,72693.46094
12,76233.24219
13,79508.14844
14,82540.23438
15,85350.14844
16,87954.72656
