time,position
0,0
1,7921.202637
2,14909.7168
3,20927.63867
4,26184.40234
5,30813.35742
6,34945.78516
7,38650.13281
8,41993.51953
9,45033.03516
10,47809.0625
11,50362.10547
12,52715.34375
13,54884.71875
14,56887.40234
15,58738.8125
16,60451.76563
17,62043.43359
18,63523.08594
19,64899.42188
20,66182.91406
21,67380.45313
22,68498.08594
23,69542.96875
24,70519.83594
25,71433.4375
